OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,REV_AT_EPOCH,BSTAR,orbital_period_min,altitude_estimated,drag_index,energy_index,orbit_type,orbit_family,anomaly_score,anomaly_flag
STARLINK-2692,2021-040G,48434,2025-10-13 22:29:47.338080,15.06413863,0.00012873,53.0525,95.9262,104.6383,255.4749,4.173e-05,0.0,24485,0.00029874442,95.59126050076718,554.3060701657514,3.8457369186599995e-08,0.0022033393817818122,LEO,LEO,-0.2738500559598435,1
STARLINK-2633,2021-040H,48435,2025-10-13 22:38:59.567136,15.06398767,0.00012563,53.0532,105.3954,82.6654,277.4478,3.329e-05,0.0,24471,0.00024230266,95.59221844477254,554.3523369082704,3.04404831758e-08,0.00220338354243661,LEO,LEO,-0.27562575401721445,1
STARLINK-2639,2021-040J,48436,2025-10-13 22:23:43.669248,15.06403733,0.00013373,53.0529,120.4326,85.8728,274.2414,4.83e-06,0.0,24450,5.1339668e-05,95.59190331613445,554.3371168545536,6.86565380164e-09,0.002203369015143035,LEO,LEO,-0.2777362479143157,1
STARLINK-2642,2021-040K,48437,2025-10-13 22:01:10.446528,15.0640204,0.00013017,53.0528,130.5048,85.3354,274.7784,6.268e-05,0.0,24436,0.00043927197,95.59201074900297,554.3423056391466,5.71800323349e-08,0.0022033739677463104,LEO,LEO,-0.2757265530060271,1
STARLINK-2640,2021-040L,48438,2025-10-13 22:55:37.383456,15.06406769,0.00014617,53.0533,120.6003,99.0172,261.0982,1.909e-05,0.0,24450,0.0001469897,95.59171066098682,554.3278120058767,2.1485484448999998e-08,0.002203360133847854,LEO,LEO,-0.2770116876339859,1
STARLINK-2583,2021-040M,48439,2025-10-13 22:13:06.611808,15.06410694,0.00013341,53.053,120.468,87.0367,273.0775,2.957e-05,0.0,24450,0.00021723466,95.59146159380623,554.3157825623894,2.8981275990600004e-08,0.00220334865201585,LEO,LEO,-0.2775783497603437,1
STARLINK-2682,2021-040N,48440,2025-10-13 22:07:48.772128,15.06390475,0.00013712,53.0522,120.4834,91.673,268.4416,3.131e-05,0.0,24450,0.00022907251,95.59274463681137,554.3777508452476,3.14104225712e-08,0.0022034077997681884,LEO,LEO,-0.27744978444379936,1
STARLINK-2702,2021-040P,48441,2025-10-13 22:02:29.304672,15.06406441,0.00014918,53.052,120.5003,93.7573,266.3587,2.137e-05,0.0,24450,0.00016230279,95.5917314748125,554.3288172712892,2.4212330212200002e-08,0.002203361093352783,LEO,LEO,-0.27826310500747814,1
STARLINK-2644,2021-040Q,48442,2025-10-13 21:57:13.359744,15.06394054,0.00013881,53.0528,120.5163,90.9006,269.2142,6.666e-05,0.0,24450,0.00046607161,95.59251752065133,554.3667816318384,6.46954001841e-08,0.0022033973297492363,LEO,LEO,-0.27481949267913797,1
STARLINK-2663,2021-040R,48443,2025-10-13 21:51:53.115552,15.06405155,0.00013643,53.0539,120.5359,91.0597,269.0549,-1.09e-06,0.0,24450,1.1599101e-05,95.59181308032632,554.3327586507876,1.58246534943e-09,0.002203364855320227,LEO,LEO,-0.2780852805937366,1
STARLINK-2645,2021-040S,48444,2025-10-13 23:22:07.341312,15.06387613,0.00013973,53.0538,120.2506,92.4552,267.6597,-3.059e-05,0.0,24451,-0.00018659031,95.59292625436638,554.3865225693717,-2.60722640163e-08,0.0022034161723265646,LEO,LEO,-0.27587923972089295,1
STARLINK-2634,2021-040T,48445,2025-10-13 23:16:46.009344,15.06427796,0.00014251,53.0538,120.2682,93.4664,266.6488,2.843e-05,0.0,24451,0.00020951953,95.5903763740695,554.2633685115588,2.98586282203e-08,0.0022032986244541536,LEO,LEO,-0.2775978593016634,1
STARLINK-2655,2021-040X,48449,2025-10-13 23:00:52.492896,15.06415125,9.985e-05,53.0531,120.3175,90.9657,269.1447,1.379e-05,0.0,24451,0.00011141551,95.59118041914243,554.3022023795365,1.11248386735e-08,0.0022033356900860914,LEO,LEO,-0.27807207540188944,1
STARLINK-2660,2021-040Y,48450,2025-10-14 00:00:04.999968,15.2228606,0.00013568,53.0543,119.6241,108.4456,37.7696,0.02064985,0.0,580,0.079532899,94.59457311196819,506.08397846632033,1.079102373632e-05,0.0021576324417041607,LEO,LEO,-0.07938369895750597,1
STARLINK-2703,2021-040AA,48452,2025-10-13 22:50:15.452736,15.06407364,0.00014074,53.0537,120.321,94.9093,265.2057,1.201e-05,0.0,24451,9.9488877e-05,95.59167290422248,554.32598843083,1.400206454898e-08,0.00220335839328411,LEO,LEO,-0.27820067000576215,1
STARLINK-2620,2021-040AB,48453,2025-10-13 22:44:58.880544,15.06400474,0.00013407,53.0532,120.3666,86.294,273.8203,2.612e-05,0.0,24451,0.00019419711,95.59211012303493,554.3471051969263,2.60360065377e-08,0.0022033785488460734,LEO,LEO,-0.27769652129288575,1
STARLINK-2654,2021-040AC,48454,2025-10-13 22:39:41.503104,15.06383848,0.00014356,53.0523,120.3836,86.4792,273.6361,9.02e-05,0.0,24451,0.00062395442,95.59316517578593,554.398061934291,8.957489653519999e-08,0.0022034271866138823,LEO,LEO,-0.2745250052197068,1
STARLINK-2497,2021-040AD,48455,2025-10-13 22:34:21.014400,15.06403357,0.00013824,53.0535,120.4005,88.2625,271.8522,1.76e-06,0.0,24450,3.0735392e-05,95.59192717598279,554.338269235881,4.24886059008e-09,0.0022033701150700226,LEO,LEO,-0.2778871156325649,1
STARLINK-2698,2021-040AG,48458,2025-10-13 22:46:57.882720,15.06408755,0.00014053,53.0539,125.4488,91.8022,268.3128,7.8e-07,0.0,24515,2.4108797e-05,95.59158463600406,554.3217252541845,3.3880092424100003e-09,0.0022033543241759086,LEO,LEO,-0.27810007837621936,1
STARLINK-2579,2021-040AH,48459,2025-10-13 22:36:23.695488,15.06411325,0.00013708,53.0528,125.7521,90.8345,269.2802,2.229e-05,0.0,24444,0.0001684038,95.59142155280863,554.3138486618263,2.3084792904e-08,0.002203346806155181,LEO,LEO,-0.2779291414579456,1
